	width	height	description	moderatedBy
aug_1/aug_6_22_777	593	67	Уж не мечтать	Norlist
aug_1/aug_6_22_778	569	78	Уж не мечтать	Norlist
aug_1/aug_6_22_779	471	74	Уж не мечтать	Norlist
aug_1/aug_6_22_780	547	58	Уж не мечтать	Norlist
aug_1/aug_6_22_781	429	59	Уж не мечтать	Norlist
aug_1/aug_6_22_782	495	54	Уж не мечтать	Norlist
aug_1/aug_6_22_783	590	78	Уж не мечтать	Norlist
aug_1/aug_6_22_784	500	56	Уж не мечтать	Norlist
aug_1/aug_6_22_785	564	46	Уж не мечтать	Norlist
aug_1/aug_6_22_786	558	87	Уж не мечатать	Norlist
aug_1/aug_6_22_787	474	56	Уж не мечтать	Norlist
aug_1/aug_6_22_789	513	63	Уж не мечтать	Norlist
aug_1/aug_6_22_790	451	59	Уж не мечтать	Norlist
aug_1/aug_6_22_791	579	71	Уж не мечтать	Norlist
aug_1/aug_6_22_793	570	69	Уж не мечтать	Norlist
aug_1/aug_6_22_794	572	56	Уж не мечтать	Norlist
aug_1/aug_6_22_795	571	73	Уж не мечтать	Norlist
aug_1/aug_6_22_796	397	53	Уж не мечтать	Norlist
aug_1/aug_6_22_797	497	58	Уж не мечтать	Norlist
aug_1/aug_6_22_798	576	67	Уж не мечтать	Norlist
aug_1/aug_6_22_800	512	74	Уж не мечтать	Norlist
aug_1/aug_6_23_362	549	82	Все миновалось,	Norlist
aug_1/aug_6_23_364	533	89	Все миновалось,	Norlist
aug_1/aug_6_23_366	595	80	Все миновалось,	Daniyar Borisovich
aug_1/aug_6_23_367	505	59	Все миновалось	Norlist
aug_1/aug_6_23_368	475	74	Все миновалось,	Norlist
aug_1/aug_6_23_369	479	66	Все миновалось	Norlist
aug_1/aug_6_23_370	474	67	Все миновалось	Norlist
aug_1/aug_6_23_372	425	60	Все миновалось	Norlist
aug_1/aug_6_23_374	504	63	Все миновалось,	Daniyar Borisovich
aug_1/aug_6_23_375	489	63	Все миновалось,	Norlist
aug_1/aug_6_23_376	447	69	Все миновалось	Norlist
aug_1/aug_6_23_377	502	69	Все миювалось	Norlist
aug_1/aug_6_23_379	529	66	Все миновалось,	Norlist
aug_1/aug_6_23_380	544	55	Все миновалось,	Norlist
aug_1/aug_6_23_383	529	75	Все миновалось	Norlist
aug_1/aug_6_23_385	436	58	Все миновалось,	Norlist
aug_1/aug_6_23_386	321	51	Все миновалось	Norlist
aug_1/aug_6_23_387	481	49	Все миновалось	Norlist
aug_1/aug_6_23_388	532	90	Все миновалось,	Daniyar Borisovich
aug_1/aug_6_23_390	540	57	Все миновалось,	Daniyar Borisovich
aug_1/aug_6_23_397	556	74	Все миновалось,	Daniyar Borisovich
aug_1/aug_6_23_398	518	61	Все миновалось,	Norlist
aug_1/aug_6_23_400	412	94	Все миновалось,	Daniyar Borisovich
aug_1/aug_6_23_402	501	66	Все миновалось,	Daniyar Borisovich
aug_1/aug_6_23_403	480	77	Все миновалось,	Daniyar Borisovich
aug_1/aug_6_23_405	483	72	Все миновалось,	Daniyar Borisovich
aug_1/aug_6_23_407	327	51	Все миновалось	Norlist
aug_1/aug_6_23_410	571	57	Все миновалось	Norlist
aug_1/aug_6_23_411	542	61	Все миновалось,	Norlist
aug_1/aug_6_23_413	568	82	Все миновалось,	Daniyar Borisovich
aug_1/aug_6_23_414	474	76	Все миновалось,	Norlist
aug_1/aug_6_23_415	598	84	Все миновалось,	Norlist
aug_1/aug_6_23_416	581	67	Все миновалось,	Norlist
aug_1/aug_6_23_418	509	70	Все миновалось,	Norlist
aug_1/aug_6_23_478	596	68	Все миновалось,	Daniyar Borisovich
aug_1/aug_6_23_499	584	73	Все миновалось,	Norlist
aug_1/aug_6_23_508	539	65	Все миновалось	Norlist
aug_1/aug_6_23_517	598	71	Все миновалось,	Norlist
aug_1/aug_6_23_774	597	70	Все миновалось	Norlist
aug_1/aug_6_23_777	562	63	Все миновалось,	Norlist
aug_1/aug_6_23_778	531	71	Все миновалось,	Norlist
aug_1/aug_6_23_779	484	87	Все миновалось,	Norlist
aug_1/aug_6_23_780	572	83	Все миновалось,	Norlist
aug_1/aug_6_23_781	410	48	Всё миновалось	Norlist
aug_1/aug_6_23_782	429	64	Все миновалось	Norlist
aug_1/aug_6_23_783	533	69	Все миновалось,	Norlist
aug_1/aug_6_23_784	520	69	Все миновалось	Norlist
aug_1/aug_6_23_785	537	49	Все миновалось,	Norlist
aug_1/aug_6_23_786	538	78	Все миновалась	Norlist
aug_1/aug_6_23_787	450	63	Все миновалось,	Norlist
aug_1/aug_6_23_789	538	66	Все миновалось	Norlist
aug_1/aug_6_23_790	474	84	Все миновалось,	Norlist
aug_1/aug_6_23_791	574	93	Все миновалось,	Norlist
aug_1/aug_6_23_793	576	70	Все миновалось	Norlist
aug_1/aug_6_23_794	465	46	Все миновалось	Norlist
aug_1/aug_6_23_795	511	79	Все миновалось	Norlist
aug_1/aug_6_23_796	443	63	Все миновалось	Norlist
aug_1/aug_6_23_797	560	67	Все миновалось,	Norlist
aug_1/aug_6_23_800	564	61	Все миновалось	Norlist
aug_1/aug_6_24_362	578	67	Твое лицо в его	Norlist
aug_1/aug_6_24_364	540	75	Твое лицо в его	Norlist
aug_1/aug_6_24_366	597	71	Твое лицо в его	Daniyar Borisovich
aug_1/aug_6_24_368	525	74	Твое лицо в его	Norlist
aug_1/aug_6_24_369	477	75	Твое лицо в его	Norlist
aug_1/aug_6_24_370	431	90	Твое лицо в его	Norlist
aug_1/aug_6_24_372	525	72	Твое лицо в его	Norlist
aug_1/aug_6_24_374	498	76	Твое лицо в его	Daniyar Borisovich
aug_1/aug_6_24_375	509	62	Твое лицо в его	Norlist
aug_1/aug_6_24_376	520	91	Твое лицо в его	Norlist
aug_1/aug_6_24_377	521	88	Твое лицо в его	Norlist
aug_1/aug_6_24_379	582	84	Твое лицо в его	Norlist
aug_1/aug_6_24_380	501	42	Твое лицо в его	Norlist
aug_1/aug_6_24_385	456	56	Твое лицо в его	Norlist
aug_1/aug_6_24_386	380	59	Твое лицо в его	Norlist
aug_1/aug_6_24_387	556	69	Твое лицо в его	Norlist
aug_1/aug_6_24_388	585	96	Твое лицо в его	Daniyar Borisovich
aug_1/aug_6_24_390	539	76	Твое лицо в его	Daniyar Borisovich
aug_1/aug_6_24_398	589	67	Твое лицо в его	Norlist
aug_1/aug_6_24_400	484	97	Твое лицо в его	Daniyar Borisovich
aug_1/aug_6_24_402	509	70	Твое лицо в его	Daniyar Borisovich
aug_1/aug_6_24_403	546	92	Твое лицо в его	Daniyar Borisovich
aug_1/aug_6_24_404	525	88	Твое лицо в его	Daniyar Borisovich
aug_1/aug_6_24_405	564	65	Твое лицо в его	Daniyar Borisovich
aug_1/aug_6_24_406	582	72	Твое лицо в его	Norlist
aug_1/aug_6_24_407	332	57	Твое лицо в его	Norlist
aug_1/aug_6_24_410	599	73	Твое лицо в его	Norlist
aug_1/aug_6_24_411	466	51	Твое лицо в его	Norlist
aug_1/aug_6_24_415	563	76	Твое лицо в его	Norlist
aug_1/aug_6_24_416	530	64	Твое лицо в его	Norlist
aug_1/aug_6_24_418	519	73	Твое лицо в его	Norlist
aug_1/aug_6_24_508	569	71	Твое лицо в его	Norlist
aug_1/aug_6_24_777	593	84	Твое лицо в его	Norlist
aug_1/aug_6_24_778	589	87	Твое лицо в его	Norlist
aug_1/aug_6_24_780	536	81	Твое лицо в его	Norlist
aug_1/aug_6_24_781	424	68	Твоё лицо в его	Norlist
aug_1/aug_6_24_782	493	86	Твое лицо в его	Norlist
aug_1/aug_6_24_784	563	77	Твое лицо в его	Norlist
aug_1/aug_6_24_785	585	47	Твое лицо в его	Norlist
aug_1/aug_6_24_789	534	77	Твое лицо в его	Norlist
aug_1/aug_6_24_790	482	84	Твоё лицо в его	Norlist
aug_1/aug_6_24_791	579	100	Твое лицо в его	Norlist
aug_1/aug_6_24_793	580	84	Твое лицо в его	Norlist
aug_1/aug_6_24_794	515	61	Твое лицо в его	Norlist
aug_1/aug_6_24_795	556	91	Твое лицо в его	Norlist
aug_1/aug_6_24_796	433	68	Твое лицо в его	Norlist
aug_1/aug_6_24_797	544	59	Твое лицо в его	Norlist
aug_1/aug_6_24_798	555	90	Твое лицо в его	Norlist
aug_1/aug_6_25_364	574	82	Своей рукой убрал	Norlist
aug_1/aug_6_25_368	567	91	Своей рукой убрал	Norlist
aug_1/aug_6_25_370	549	92	Своей рукои убрал	Norlist
aug_1/aug_6_25_372	586	69	Своей рукой убрал	Norlist
aug_1/aug_6_25_375	539	74	Своей рукой убрал	Norlist
aug_1/aug_6_25_376	568	95	Своей рукой убрал	Norlist
aug_1/aug_6_25_385	486	91	Своей рукой убрал	Norlist
aug_1/aug_6_25_387	562	83	Своей рукой убрал	Norlist
aug_1/aug_6_25_398	553	97	Своей рукой убрал	Norlist
aug_1/aug_6_25_405	565	99	Своей рукой убрал	Daniyar Borisovich
aug_1/aug_6_25_407	386	75	Своей рукой убрал	Norlist
aug_1/aug_6_25_411	533	74	Своей рукой убрал	Norlist
aug_1/aug_6_25_414	570	91	Своей рукой убрал	Norlist
aug_1/aug_6_25_781	482	89	Своей рукой убрал	Norlist
aug_1/aug_6_25_782	526	91	Своей рукой убрал	Norlist
aug_1/aug_6_25_785	573	68	Своей рукой убрал	Norlist
aug_1/aug_6_25_790	463	94	Своей рукой убрал	Norlist
aug_1/aug_6_25_796	516	97	Своей рукой убрал	Norlist
aug_1/aug_6_26_368	552	73	о подвигах, о славе	Norlist
aug_1/aug_6_26_369	552	88	о подвигах, о славе	Norlist
aug_1/aug_6_26_370	558	72	о подвигах, о славе	Norlist
aug_1/aug_6_26_372	581	86	о подвигах, о славе	Norlist
aug_1/aug_6_26_374	556	70	о подвигах, о славе	Norlist
aug_1/aug_6_26_376	594	78	о подвигах, о славо	Norlist
aug_1/aug_6_26_385	533	70	о подвигах, о славе	Norlist
aug_1/aug_6_26_386	437	58	о подвигах, о славе	Norlist
aug_1/aug_6_26_390	583	76	о подвигах, о славе	Norlist
aug_1/aug_6_26_402	535	79	о подвигах, о славе	Norlist
aug_1/aug_6_26_405	520	84	о подвигах, о славе	Norlist
aug_1/aug_6_26_407	388	72	о подвигах, о славе	Norlist
aug_1/aug_6_26_411	567	64	о подвигах, о славе	Norlist
aug_1/aug_6_26_414	568	84	о подвигах, о славе	Norlist
aug_1/aug_6_26_418	552	70	о подвигах, о славе	Norlist
aug_1/aug_6_26_776	564	90	о подвигах, о славе	Norlist
aug_1/aug_6_26_781	481	76	о подвигах, о славе	Norlist
aug_1/aug_6_26_782	528	94	о подвигах, о слове	Norlist
aug_1/aug_6_26_785	535	81	о подвигах, о славе	Norlist
aug_1/aug_6_26_786	528	98	о подвигах, о славе	Norlist
aug_1/aug_6_26_790	556	86	о подвигах, о славе	Norlist
aug_1/aug_6_26_796	572	75	о подвигах, о слове	Norlist
aug_1/aug_6_27_362	527	70	горестнои земле,	Norlist
aug_1/aug_6_27_367	552	88	горестной земле	Norlist
aug_1/aug_6_27_368	493	79	горестной земле,	Norlist
aug_1/aug_6_27_369	549	83	горестной земле,	Norlist
aug_1/aug_6_27_370	537	71	горестной земле,	Norlist
aug_1/aug_6_27_372	516	67	горестной земле	Norlist
aug_1/aug_6_27_373	558	81	горестнои земле,	Norlist
aug_1/aug_6_27_374	529	69	горестной земле	Norlist
aug_1/aug_6_27_375	583	67	горестной земле,	Norlist
aug_1/aug_6_27_376	470	75	горестной земле,	Norlist
aug_1/aug_6_27_379	560	69	горестнои земле,	Norlist
aug_1/aug_6_27_380	523	58	горестнои земле,	Norlist
aug_1/aug_6_27_383	577	83	горестной земле,	Norlist
aug_1/aug_6_27_384	517	93	горестной земле,	Norlist
aug_1/aug_6_27_385	402	72	горестной земле,	Norlist
aug_1/aug_6_27_386	378	49	горестнои земле,	Norlist
aug_1/aug_6_27_387	545	67	горестной земле,	Norlist
aug_1/aug_6_27_388	578	85	горестной земле,	Norlist
aug_1/aug_6_27_390	550	88	горесноной земле,	Norlist
aug_1/aug_6_27_398	553	82	горестной земле,	Norlist
aug_1/aug_6_27_402	480	73	горестной земле,	Norlist
aug_1/aug_6_27_404	576	77	горестной земле,	Norlist
aug_1/aug_6_27_405	459	82	горестной земле,	Norlist
aug_1/aug_6_27_406	593	54	горестнои земле,	Norlist
aug_1/aug_6_27_407	340	59	горестной земле,	Norlist
aug_1/aug_6_27_410	562	71	горестнои земле	Norlist
aug_1/aug_6_27_411	507	62	горестной земле,	Norlist
aug_1/aug_6_27_412	503	66	горестнои земле,	Norlist
aug_1/aug_6_27_413	597	80	горестной земле,	Norlist
aug_1/aug_6_27_414	491	73	горестной земле,	Norlist
aug_1/aug_6_27_415	589	85	Горестной земле,	Norlist
aug_1/aug_6_27_417	570	73	горестной земле,	Norlist
aug_1/aug_6_27_418	447	71	горестной земле,	Norlist
aug_1/aug_6_27_775	595	93	горестной земле	Norlist
aug_1/aug_6_27_777	572	62	горестной земле,	Norlist
aug_1/aug_6_27_781	410	61	горестной земле	Norlist
aug_1/aug_6_27_782	497	93	горестной земле,	Norlist
aug_1/aug_6_27_784	600	69	горестной земле	Norlist
aug_1/aug_6_27_785	578	56	горестнои земле,	Norlist
aug_1/aug_6_27_786	544	83	горестной земле,	Norlist
aug_1/aug_6_27_788	449	80	горестной земле,	Norlist
aug_1/aug_6_27_790	505	83	Горестной земле	Norlist
aug_1/aug_6_27_791	523	55	горестнои земле,	Norlist
aug_1/aug_6_27_796	387	64	горестной земле,	Norlist
aug_1/aug_6_27_797	562	51	горестнои земле,	Norlist
aug_1/aug_6_28_362	516	81	в простой оправе	Norlist
aug_1/aug_6_28_367	575	94	в простой оправе	Norlist
aug_1/aug_6_28_368	506	89	в простой оправе	Norlist
aug_1/aug_6_28_370	503	79	в простой оправе	Norlist
aug_1/aug_6_28_374	598	79	в простой оправе	Norlist
aug_1/aug_6_28_375	577	69	в простой оправе	Norlist
aug_1/aug_6_28_376	498	83	в простой оправе	Norlist
aug_1/aug_6_28_379	578	79	в простой оправе	Norlist
aug_1/aug_6_28_380	541	57	в простой оправе	Norlist
aug_1/aug_6_28_385	455	75	в простой оправе	Norlist
aug_1/aug_6_28_386	378	67	в простой оправе	Norlist
aug_1/aug_6_28_387	540	75	в простой оправе	Norlist
aug_1/aug_6_28_390	566	84	в простой оправе	Norlist
aug_1/aug_6_28_393	544	93	в простой оправе	Daniyar Borisovich
aug_1/aug_6_28_405	519	80	в простой оправе	Norlist
aug_1/aug_6_28_406	586	64	в простой оправе	Norlist
aug_1/aug_6_28_407	380	62	в простой оправе	Norlist
aug_1/aug_6_28_411	531	58	в простой оправе	Norlist
aug_1/aug_6_28_412	519	88	в простой оправе	Norlist
aug_1/aug_6_28_414	598	76	в простой оправе	Norlist
aug_1/aug_6_28_415	576	79	в простой оправе	Norlist
aug_1/aug_6_28_416	589	93	в простой оправе	Daniyar Borisovich
aug_1/aug_6_28_418	559	76	в простой оправе	Norlist
aug_1/aug_6_28_777	564	84	в простой оправе	Norlist
aug_1/aug_6_28_780	600	96	в простой оправе	Norlist
aug_1/aug_6_28_781	527	64	в простой оправе	Norlist
aug_1/aug_6_28_782	530	86	в простой оправе	Norlist
aug_1/aug_6_28_785	521	51	в простой оправе	Norlist
aug_1/aug_6_28_788	508	78	в простой оправе	Norlist
aug_1/aug_6_28_790	549	88	В простой оправе	Norlist
aug_1/aug_6_28_791	553	94	в простой оправе	Norlist
aug_1/aug_6_28_794	594	66	в простой оправе	Norlist
aug_1/aug_6_28_796	434	73	в простой оправе	Norlist
aug_1/aug_6_28_797	552	69	в простой оправе	Norlist
aug_1/aug_6_28_799	593	94	в простой оправе	Norlist
aug_1/aug_6_29_362	549	41	сияло на столе.	Norlist
aug_1/aug_6_29_363	541	53	сияло на столе	Norlist
aug_1/aug_6_29_364	574	49	сияло на столе	Norlist
aug_1/aug_6_29_367	560	46	сияло на столе	Norlist
aug_1/aug_6_29_368	513	56	сияло на столе.	Norlist
aug_1/aug_6_29_369	476	41	сияло на столе	Norlist
aug_1/aug_6_29_370	488	46	сияло на столе.	Norlist
aug_1/aug_6_29_372	506	40	сияло на столе	Norlist
aug_1/aug_6_29_373	590	45	сияло на столе	Norlist
aug_1/aug_6_29_374	517	36	сияло на столе	Norlist
aug_1/aug_6_29_375	536	38	сияло на столе	Norlist
aug_1/aug_6_29_376	457	58	сияло на столе	Norlist
aug_1/aug_6_29_377	596	58	сияло на столе	Norlist
aug_1/aug_6_29_379	556	44	сияло на столе	Norlist
aug_1/aug_6_29_380	518	41	сияло на столе.	Norlist
aug_1/aug_6_29_383	549	38	сияло на столе.	Norlist
aug_1/aug_6_29_384	546	44	сияло на столе	Norlist
aug_1/aug_6_29_385	465	33	сияло на столе.	Norlist
aug_1/aug_6_29_386	367	32	сияло на столе.	Norlist
aug_1/aug_6_29_387	529	35	сняло на столе	Norlist
aug_1/aug_6_29_388	558	56	сияло на столе.	Norlist
aug_1/aug_6_29_390	530	35	сияло на столе.	Norlist
aug_1/aug_6_29_392	553	58	сияло на столе	Norlist
aug_1/aug_6_29_393	513	69	сияло на столе	Daniyar Borisovich
aug_1/aug_6_29_398	569	42	сияло на столе.	Norlist
aug_1/aug_6_29_400	476	47	сияло на столе	Daniyar Borisovich
aug_1/aug_6_29_402	516	39	сияло на столе	Norlist
aug_1/aug_6_29_403	457	44	сияло на столе.	Daniyar Borisovich
aug_1/aug_6_29_404	590	46	сняло на столе	Norlist
aug_1/aug_6_29_405	511	40	сияло на столе.	Norlist
aug_1/aug_6_29_406	575	42	сияло на столе.	Norlist
aug_1/aug_6_29_407	307	40	сияло на столе	Norlist
aug_1/aug_6_29_410	595	46	сияло на столе	Norlist
aug_1/aug_6_29_411	529	30	сияло на столе	Norlist
aug_1/aug_6_29_412	499	37	сияло на столе.	Norlist
aug_1/aug_6_29_413	580	41	сияло на столе	Norlist
aug_1/aug_6_29_414	526	47	сияло на столе.	Norlist
aug_1/aug_6_29_415	560	41	сияло на столе.	Norlist
aug_1/aug_6_29_416	588	50	сияло на столе.	Daniyar Borisovich
aug_1/aug_6_29_418	503	31	сияло на столе	Norlist
aug_1/aug_6_29_776	490	73	сияло на столе	Norlist
aug_1/aug_6_29_777	553	50	сияло на столе.	Norlist
aug_1/aug_6_29_779	449	52	сияло на столе.	Norlist
aug_1/aug_6_29_780	546	34	сияло на столе.	Norlist
aug_1/aug_6_29_781	486	34	сияло на столе	Norlist
aug_1/aug_6_29_782	477	43	сияло на столе	Norlist
aug_1/aug_6_29_783	571	40	сияло на столе	Norlist
aug_1/aug_6_29_785	498	24	сияло на столе	Norlist
aug_1/aug_6_29_786	549	61	сияло на столе	Norlist
aug_1/aug_6_29_787	526	35	сияло на столе.	Norlist
aug_1/aug_6_29_788	509	43	сияло на столе.	Norlist
aug_1/aug_6_29_789	519	31	сияло на столе	Norlist
aug_1/aug_6_29_791	532	46	сияло на столе.	Norlist
aug_1/aug_6_29_794	592	38	сияло на столе	Norlist
aug_1/aug_6_29_796	444	42	сияло на столе.	Norlist
aug_1/aug_6_29_797	522	42	сияло на столе,	Norlist
aug_1/aug_6_29_799	555	62	сияло на столе.	Norlist
aug_1/aug_6_29_800	594	47	сияло на столе	Norlist
aug_1/aug_6_2_362	525	91	Когда твое лицо	Norlist
aug_1/aug_6_2_363	586	98	Когда твое лицо	Daniyar Borisovich
aug_1/aug_6_2_364	558	87	Когда твое лицо	Norlist
aug_1/aug_6_2_367	544	97	Когда твое лицо	Norlist
aug_1/aug_6_2_368	488	66	Когда твое лицо	Norlist
aug_1/aug_6_2_369	500	90	Когда твое лицо	Norlist
aug_1/aug_6_2_370	473	91	Когда твое лицо	Norlist
aug_1/aug_6_2_374	532	99	Когда твое лицо	Daniyar Borisovich
aug_1/aug_6_2_375	531	73	Когда твое лицо	Norlist
aug_1/aug_6_2_376	541	83	Когда твое лицо	Norlist
aug_1/aug_6_2_377	600	87	Когда твое лицо	Norlist
aug_1/aug_6_2_380	533	52	Когда твое лицо	Norlist
aug_1/aug_6_2_383	571	100	Когда твое лицо	Norlist
aug_1/aug_6_2_384	563	95	Когда твое лицо	Norlist
aug_1/aug_6_2_385	447	96	Когда твое лицо	Norlist
aug_1/aug_6_2_386	374	73	Когда твое лицо	Norlist
aug_1/aug_6_2_387	545	69	Когда твое лицо	Norlist
aug_1/aug_6_2_388	557	99	Когда твое лицо	Norlist
aug_1/aug_6_2_393	456	89	Когда твое лицо	Norlist
aug_1/aug_6_2_398	500	87	Когда твое лицо	Norlist
aug_1/aug_6_2_405	523	92	Когда твое лицо	Norlist
aug_1/aug_6_2_406	554	74	Когда твое лицо	Norlist
aug_1/aug_6_2_407	376	75	Когда твое лицо	Norlist
aug_1/aug_6_2_408	574	98	Когда твое лицо	Norlist
aug_1/aug_6_2_410	571	97	Когда твое лицо	Norlist
aug_1/aug_6_2_411	501	57	Когда твое лицо	Norlist
aug_1/aug_6_2_412	522	93	Когда твое лицо	Norlist
aug_1/aug_6_2_414	513	91	Когда твое лицо	Norlist
aug_1/aug_6_2_415	558	70	Когда твое лицо	Norlist
aug_1/aug_6_2_416	539	99	Когда твое лицо	Norlist
aug_1/aug_6_2_418	508	88	Когда твое лицо	Norlist
aug_1/aug_6_2_777	551	74	Когда твое лицо	Norlist
aug_1/aug_6_2_779	392	88	Когда твое лицо	Norlist
aug_1/aug_6_2_780	571	91	Когда твое лицо	Norlist
aug_1/aug_6_2_781	487	72	Когда твоё лицо	Norlist
aug_1/aug_6_2_783	547	95	Когда твое лицо	Norlist
aug_1/aug_6_2_785	530	76	Когда твое лицо	Norlist
aug_1/aug_6_2_787	506	84	Когда твое лицо	Norlist
aug_1/aug_6_2_788	448	92	Когда твое лицо	Norlist
aug_1/aug_6_2_790	463	91	Когда твоё лицо	Norlist
aug_1/aug_6_2_791	544	85	Когда твое лицо	Norlist
aug_1/aug_6_2_793	572	92	Когда твое лицо	Norlist
aug_1/aug_6_2_794	531	71	Когда твое лицо	Norlist
aug_1/aug_6_2_796	418	83	Когда твое лицо	Norlist
aug_1/aug_6_2_797	538	80	Когда твое лицо	Norlist
aug_1/aug_6_30_386	511	61	и ты ушла из дому.	Norlist
aug_1/aug_6_30_407	448	57	и ты ушла из дому	Norlist
aug_1/aug_6_30_779	564	80	и ты ушла из дому	Norlist
aug_1/aug_6_30_796	583	74	и ты ушло из дому.	Norlist
aug_1/aug_6_31_362	492	84	заветное кольцо.	Norlist
aug_1/aug_6_31_366	328	89	заветное	Daniyar Borisovich
aug_1/aug_6_31_368	534	77	заветное кольцо	Norlist
aug_1/aug_6_31_369	518	77	заветное кольцо.	Norlist
aug_1/aug_6_31_370	502	90	заветное кольцо	Norlist
aug_1/aug_6_31_372	503	69	заветное кольцо	Norlist
aug_1/aug_6_31_374	544	74	заветное кольцо.	Norlist
aug_1/aug_6_31_375	564	69	заветное кольцо	Norlist
aug_1/aug_6_31_376	510	85	заветное кольцо	Norlist
aug_1/aug_6_31_379	542	75	заветное кольцо	Norlist
aug_1/aug_6_31_383	570	94	заветное кольцо	Norlist
aug_1/aug_6_31_384	554	79	заветное кольцо	Norlist
aug_1/aug_6_31_385	429	60	заветное кольцо.	Norlist
aug_1/aug_6_31_386	327	60	заветное кольцо	Norlist
aug_1/aug_6_31_387	503	68	заветное кольцо	Norlist
aug_1/aug_6_31_388	552	96	заветное кольцо.	Norlist
aug_1/aug_6_31_390	568	76	заветное кольцо	Norlist
aug_1/aug_6_31_393	482	82	заветно е кольцо.	Daniyar Borisovich
aug_1/aug_6_31_398	541	77	заветное кольцо	Norlist
aug_1/aug_6_31_402	495	78	заветное кольцо	Norlist
aug_1/aug_6_31_404	555	98	заветное кольцо	Norlist
aug_1/aug_6_31_405	476	83	заветное кольцо	Norlist
aug_1/aug_6_31_406	598	70	заветное кольцо	Norlist
aug_1/aug_6_31_407	340	62	заветное кольцо.	Norlist
aug_1/aug_6_31_410	588	88	заветное кольцо	Norlist
aug_1/aug_6_31_411	564	59	заветное кольцо.	Norlist
aug_1/aug_6_31_412	518	85	заветное кольцо.	Norlist
aug_1/aug_6_31_413	594	95	заветное кольцо	Norlist
aug_1/aug_6_31_414	528	84	заветное кольцо	Norlist
aug_1/aug_6_31_415	500	61	заветное кольцо.	Norlist
aug_1/aug_6_31_416	555	86	заветное кольцо.	Daniyar Borisovich
aug_1/aug_6_31_418	498	67	заветное кольцо	Norlist
aug_1/aug_6_31_480	554	60	заветное кольцо	Norlist
aug_1/aug_6_31_777	541	71	заветное кольцо	Norlist
aug_1/aug_6_31_779	449	92	заветное кольцо	Norlist
aug_1/aug_6_31_780	577	83	заветное кольцо	Norlist
aug_1/aug_6_31_781	443	66	заветное кольцо	Norlist
aug_1/aug_6_31_783	542	73	заветное кольцо	Norlist
aug_1/aug_6_31_785	570	62	заветное колыцо.	Norlist
aug_1/aug_6_31_786	490	96	заветное кольцо	Norlist
aug_1/aug_6_31_787	506	76	заветное кольцо.	Norlist
aug_1/aug_6_31_788	489	79	заветное кольцо.	Norlist
aug_1/aug_6_31_789	504	68	заветное кольцо	Norlist
aug_1/aug_6_31_791	585	95	заветное кольцо.	Norlist
aug_1/aug_6_31_793	594	90	заветное кольцо	Norlist
aug_1/aug_6_31_794	576	65	заветное кольцо.	Norlist
aug_1/aug_6_31_796	462	64	заветное кольцо.	Norlist
aug_1/aug_6_31_797	553	60	заветное кольцо	Norlist
aug_1/aug_6_32_363	599	87	судьбу другому,	Norlist
aug_1/aug_6_32_364	577	79	судьбу другому,	Norlist
aug_1/aug_6_32_366	576	98	судьбу другому,	Daniyar Borisovich
aug_1/aug_6_32_367	530	91	судьбу другому,	Norlist
aug_1/aug_6_32_368	440	87	судьбу другому,	Norlist
aug_1/aug_6_32_369	478	79	судьбу другому,	Norlist
aug_1/aug_6_32_370	465	94	судьбу другому,	Norlist
aug_1/aug_6_32_372	494	94	судьбу другому	Norlist
aug_1/aug_6_32_374	495	90	судьбу другому,	Norlist
aug_1/aug_6_32_375	502	77	судьбу другому,	Norlist
aug_1/aug_6_32_376	471	85	судьбу другому,	Norlist
aug_1/aug_6_32_379	525	89	судьбу другому,	Norlist
aug_1/aug_6_32_383	541	91	судьбу другому,	Norlist
aug_1/aug_6_32_384	548	95	судьбу другому,	Norlist
aug_1/aug_6_32_385	405	70	судьбу другому,	Norlist
aug_1/aug_6_32_386	325	65	судьбу другому,	Norlist
aug_1/aug_6_32_387	515	66	судьбу другому,	Norlist
aug_1/aug_6_32_390	520	85	судьбу другому,	Norlist
aug_1/aug_6_32_398	505	85	судьбу другому,	Norlist
aug_1/aug_6_32_402	469	92	судьбу другому	Norlist
aug_1/aug_6_32_405	457	79	судьбу другому,	Norlist
aug_1/aug_6_32_406	532	77	судьбу другому,	Norlist
aug_1/aug_6_32_407	340	72	судьбу другому,	Norlist
aug_1/aug_6_32_408	580	95	судьбу другому,	Norlist
aug_1/aug_6_32_411	522	75	судьбу другому,	Norlist
aug_1/aug_6_32_412	482	95	судьбу другому,	Norlist
aug_1/aug_6_32_414	489	80	судьбу другому,	Norlist
aug_1/aug_6_32_415	474	99	судьбу другому,	Norlist
aug_1/aug_6_32_416	532	99	судьбу другому	Daniyar Borisovich
aug_1/aug_6_32_417	491	91	судьбу другому,	Norlist
aug_1/aug_6_32_418	460	55	судьбу другому,	Norlist
aug_1/aug_6_32_480	565	64	судьбу другому,	Norlist
aug_1/aug_6_32_774	549	91	судьбу другому,	Norlist
aug_1/aug_6_32_777	507	90	судьбу другому,	Norlist
aug_1/aug_6_32_778	518	94	судьбу другому	Norlist
aug_1/aug_6_32_780	558	80	судьбу другому,	Norlist
aug_1/aug_6_32_781	371	67	судьбу другому	Norlist
aug_1/aug_6_32_783	513	88	судьбу другому,	Norlist
